PANTONE NAME	C	M	Y	K	
PANTONE 410 CHC	0	16	24	63	410
PANTONE 411 CHC	0	21	32	73	411
PANTONE 412 CHC	0	33	58	90	412
PANTONE 413 CHC	1	0	11	25	413
PANTONE 414 CHC	2	0	13	36	414
PANTONE 415 CHC	4	0	17	44	415
PANTONE 416 CHC	5	0	22	54	416
PANTONE 417 CHC	7	0	26	62	417
PANTONE 418 CHC	12	0	30	72	418
PANTONE 419 CHC	30	0	40	94	419
PANTONE 420 CHC	1	0	7	23	420
PANTONE 421 CHC	2	0	7	31	421
PANTONE 422 CHC	3	0	8	40	422
PANTONE 423 CHC	4	0	9	48	423
PANTONE 424 CHC	5	0	10	55	424
PANTONE 425 CHC	8	0	13	72	425
PANTONE 426 CHC	35	0	20	95	426
PANTONE 427 CHC	2	0	2	10	427
PANTONE 428 CHC	3	0	3	20	428
PANTONE 429 CHC	5	0	4	33	429
PANTONE 430 CHC	8	0	5	46	430
PANTONE 431 CHC	15	0	8	67	431
PANTONE 432 CHC	30	0	9	80	432
PANTONE 433 CHC	44	6	0	93	433
PANTONE 434 CHC	8	9	9	0	434
PANTONE 435 CHC	15	16	16	0	435
PANTONE 436 CHC	27	27	25	0	436
PANTONE 437 CHC	58	60	57	0	437
PANTONE 438 CHC	81	85	97	0	438
PANTONE 439 CHC	85	88	100	5	439
PANTONE 440 CHC	89	90	100	10	440
PANTONE 441 CHC	9	0	11	16	441
PANTONE 442 CHC	13	0	13	23	442
PANTONE 443 CHC	19	0	16	34	443
PANTONE 444 CHC	23	0	19	47	444
PANTONE 445 CHC	35	0	33	71	445
PANTONE 446 CHC	37	0	37	80	446
PANTONE 447 CHC	37	0	47	88	447
PANTONE Warm Gray 1 CHC	0	2	7	9	Warm Gray 1
PANTONE Warm Gray 2 CHC	0	3	9	15	Warm Gray 2
PANTONE Warm Gray 3 CHC	0	5	13	24	Warm Gray 3
PANTONE Warm Gray 4 CHC	0	6	15	31	Warm Gray 4
PANTONE Warm Gray 5 CHC	0	6	17	36	Warm Gray 5
PANTONE Warm Gray 5 CHC	0	6	17	36	Warm Gray 5
PANTONE Warm Gray 5 CHC	0	6	17	36	Warm Gray 5
PANTONE Warm Gray 6 CHC	0	7	17	39	Warm Gray 6
PANTONE Warm Gray 7 CHC	0	8	18	43	Warm Gray 7
PANTONE Warm Gray 8 CHC	0	9	20	49	Warm Gray 8
PANTONE Warm Gray 9 CHC	0	11	23	55	Warm Gray 9
PANTONE Warm Gray 10 CHC	0	12	27	62	Warm Gray 10
PANTONE Warm Gray 11 CHC	0	16	32	70	Warm Gray 11
PANTONE Warm Gray 11 CHC	0	16	32	70	Warm Gray 11
PANTONE Cool Gray 1 CHC	0	0	4	9	Cool Gray 1
PANTONE Cool Gray 2 CHC	0	0	4	13	Cool Gray 2
PANTONE Cool Gray 3 CHC	0	0	5	18	Cool Gray 3
PANTONE Cool Gray 4 CHC	0	0	5	26	Cool Gray 4
PANTONE Cool Gray 5 CHC	0	0	5	33	Cool Gray 5
PANTONE Cool Gray 5 CHC	0	0	5	33	Cool Gray 5
PANTONE Cool Gray 5 CHC	0	0	5	33	Cool Gray 5
PANTONE Cool Gray 6 CHC	0	0	5	36	Cool Gray 6
PANTONE Cool Gray 7 CHC	1	0	5	42	Cool Gray 7
PANTONE Cool Gray 8 CHC	1	0	6	49	Cool Gray 8
PANTONE Cool Gray 9 CHC	2	0	7	57	Cool Gray 9
PANTONE Cool Gray 10 CHC	4	0	8	64	Cool Gray 10
PANTONE Cool Gray 11 CHC	5	0	8	70	Cool Gray 11
PANTONE Cool Gray 11 CHC	5	0	8	70	Cool Gray 11
PANTONE 448 CHC	82	81	100	0	448
PANTONE 449 CHC	79	79	100	0	449
PANTONE 450 CHC	75	75	100	0	450
PANTONE 451 CHC	42	40	61	0	451
PANTONE 452 CHC	32	30	48	0	452
PANTONE 453 CHC	21	20	35	0	453
PANTONE 454 CHC	12	12	24	0	454
PANTONE 4485 CHC	0	24	100	70	4485
PANTONE 4495 CHC	0	17	94	52	4495
PANTONE 4505 CHC	0	12	74	44	4505
